can_id,can_data,interval_ms
0x18C4D2D0,84 BB 30 00 00 00 40 4F,10
0x18C4D2D0,84 BB 30 00 00 00 50 5F,10
0x18C4D2D0,84 BB 30 00 00 00 60 6F,10
0x18C4D2D0,84 BB 30 00 00 00 70 7F,10
0x18C4D2D0,84 BB 30 00 00 00 80 8F,10
0x18C4D2D0,84 BB 30 00 00 00 90 9F,10
0x18C4D2D0,84 BB 30 00 00 00 A0 AF,10
0x18C4D2D0,84 BB E0 EF 0F 00 B0 8F,10
0x18C4D2D0,84 BB 80 E4 0F 00 C0 94,10
0x18C4D2D0,84 BB 80 E4 0F 00 D0 84,10
0x18C4D2D0,84 BB 80 E4 0F 00 E0 B4,10
0x18C4D2D0,84 BB A0 AA 0F 00 F0 CA,10
0x18C4D2D0,84 BB A0 AA 0F 00 00 3A,10
0x18C4D2D0,84 BB A0 AA 0F 00 10 2A,10
0x18C4D2D0,84 BB A0 75 0F 00 20 C5,10
0x18C4D2D0,84 BB A0 75 0F 00 30 D5,10
0x18C4D2D0,84 BB D0 56 0F 00 40 F6,10
0x18C4D2D0,84 BB D0 56 0F 00 50 E6,10
0x18C4D2D0,84 BB D0 56 0F 00 60 D6,10
0x18C4D2D0,84 BB B0 41 0F 00 70 B1,10
0x18C4D2D0,84 BB B0 41 0F 00 80 41,10
0x18C4D2D0,84 BB B0 41 0F 00 90 51,10
0x18C4D2D0,84 BB 10 41 0F 00 A0 C1,10
0x18C4D2D0,84 BB 10 41 0F 00 B0 D1,10
0x18C4D2D0,84 BB 10 41 0F 00 C0 A1,10
0x18C4D2D0,84 BB 10 41 0F 00 D0 B1,10
0x18C4D2D0,84 BB 10 41 0F 00 E0 81,10
0x18C4D2D0,84 BB 10 41 0F 00 F0 91,10
0x18C4D2D0,84 BB 10 41 0F 00 00 61,10
0x18C4D2D0,84 BB 10 41 0F 00 10 71,10
0x18C4D2D0,84 BB 10 41 0F 00 20 41,10
0x18C4D2D0,84 BB 10 41 0F 00 30 51,10
0x18C4D2D0,84 BB 10 41 0F 00 40 21,10
0x18C4D2D0,84 BB 10 41 0F 00 50 31,10
0x18C4D2D0,84 BB 10 41 0F 00 60 01,10
0x18C4D2D0,84 BB 10 41 0F 00 70 11,10
0x18C4D2D0,84 BB 10 41 0F 00 80 E1,10
0x18C4D2D0,84 BB 10 41 0F 00 90 F1,10
0x18C4D2D0,84 BB 10 41 0F 00 A0 C1,10
0x18C4D2D0,84 BB 10 41 0F 00 B0 D1,10
0x18C4D2D0,84 BB 10 41 0F 00 C0 A1,10
0x18C4D2D0,84 BB 90 46 0F 00 D0 36,10
0x18C4D2D0,84 BB 90 46 0F 00 E0 06,10
0x18C4D2D0,84 BB D0 61 0F 00 F0 71,10
0x18C4D2D0,84 BB D0 61 0F 00 00 81,10
0x18C4D2D0,84 BB D0 61 0F 00 10 91,10
0x18C4D2D0,84 BB D0 61 0F 00 20 A1,10
0x18C4D2D0,84 BB 20 B4 0F 00 30 94,10
0x18C4D2D0,84 BB F0 D3 0F 00 40 53,10
0x18C4D2D0,84 BB F0 D3 0F 00 50 43,10
0x18C4D2D0,84 BB F0 D3 0F 00 60 73,10
0x18C4D2D0,84 BB D0 F9 0F 00 70 69,10
0x18C4D2D0,84 BB D0 F9 0F 00 80 99,10
0x18C4D2D0,84 BB D0 F9 0F 00 90 89,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 10 00 00 00 F0 DF,10
0x18C4D2D0,84 BB 10 00 00 00 00 2F,10
0x18C4D2D0,84 BB 10 00 00 00 10 3F,10
0x18C4D2D0,84 BB 10 00 00 00 20 0F,10
0x18C4D2D0,84 BB 10 00 00 00 30 1F,10
0x18C4D2D0,84 BB 20 00 00 00 40 5F,10
0x18C4D2D0,84 BB 20 00 00 00 50 4F,10
0x18C4D2D0,84 BB 20 00 00 00 60 7F,10
0x18C4D2D0,84 BB 20 00 00 00 70 6F,10
0x18C4D2D0,84 BB 20 00 00 00 80 9F,10
0x18C4D2D0,84 BB 20 00 00 00 90 8F,10
0x18C4D2D0,84 BB 20 00 00 00 A0 BF,10
0x18C4D2D0,84 BB 20 00 00 00 B0 AF,10
0x18C4D2D0,84 BB 20 00 00 00 C0 DF,10
0x18C4D2D0,84 BB 20 00 00 00 D0 CF,10
0x18C4D2D0,84 BB 20 00 00 00 E0 FF,10
0x18C4D2D0,84 BB 20 00 00 00 F0 EF,10
0x18C4D2D0,84 BB 20 00 00 00 00 1F,10
0x18C4D2D0,84 BB 20 00 00 00 10 0F,10
0x18C4D2D0,84 BB 20 00 00 00 20 3F,10
0x18C4D2D0,84 BB 20 00 00 00 30 2F,10
